Point ID;Time;Hz [dms];V [dms];D [m];PPM Type;PPM;Pressure [mBar];Av Temp [°C];Target Easting [m];Target Northing [m];Target Elevation [m];Station Easting [m];Station Northing [m];Station Height [m];Null Measurement [m];Horz Distance [m]
CND_1803;01/09/2026 14:07;" 348° 01' 16.14551""";"  78° 12' 07.83457""";498.574;Atmos PPM;0;1013.25;11.1012;175987.778;9046111.314;180.893;176089.028;9045633.904;78.939;488.054;488.028
CND_23;01/09/2026 14:08;" 348° 36' 43.89579""";"  78° 49' 26.07431""";391.406;Atmos PPM;0;1013.25;11.1012;176013.244;9046010.326;154.814;176089.028;9045633.904;78.939;383.951;383.975
CND_1901;01/09/2026 14:08;" 350° 13' 35.86094""";"  77° 55' 47.09487""";536.182;Atmos PPM;0;1013.25;11.1012;176000.069;9046150.615;191.079;176089.028;9045633.904;78.939;524.343;524.313
CND_20;01/09/2026 14:08;" 359° 04' 41.92632""";"  83° 57' 00.95263""";203.552;Atmos PPM;0;1013.25;11.1012;176085.789;9045836.294;100.395;176089.028;9045633.904;78.939;202.449;202.415
CND_18;01/09/2026 14:08;"   0° 50' 53.73510""";"  86° 10' 53.97575""";178.314;Atmos PPM;0;1013.25;11.1012;176091.677;9045811.8;90.816;176089.028;9045633.904;78.939;177.925;177.915
CND_17;01/09/2026 14:08;"  11° 43' 25.88406""";"  86° 38' 50.91778""";208.078;Atmos PPM;0;1013.25;11.1012;176131.253;9045837.286;91.11;176089.028;9045633.904;78.939;207.753;207.719
CND_30002;01/09/2026 16:00;" 289° 14' 43.75122""";"  79° 28' 59.98394""";723.075;Atmos PPM;0;1013.25;11.1012;175417.871;9045868.287;210.95;176089.028;9045633.904;78.939;710.915;710.906
CND_30003;01/09/2026 16:00;" 290° 56' 14.09345""";"  79° 32' 49.43807""";674.096;Atmos PPM;0;1013.25;11.1012;175469.928;9045870.836;201.269;176089.028;9045633.904;78.939;662.894;662.889
CND_30004;01/09/2026 16:00;" 291° 25' 44.12201""";"  79° 52' 58.90552""";637.676;Atmos PPM;0;1013.25;11.1012;175504.7;9045863.297;190.979;176089.028;9045633.904;78.939;627.75;627.743
CND_170_1;01/09/2026 16:00;" 298° 32' 40.22198""";"  79° 40' 27.34563""";508.768;Atmos PPM;0;1013.25;11.1012;175649.372;9045873.108;170.15;176089.028;9045633.904;78.939;500.548;500.516
