kunci,point_id,seg,segmen_terakhir,kelas,skor_prioritas,status_data,easting,northing,rl,jarak_stasiun_m,az_los_deg,dip_lokal_deg,dipdir_lokal_deg,dev_los,proj_los,n_obs,n_hari,cakupan,tgl_awal,tgl_akhir,jam_sejak_akhir,d_turunlereng_mm,d_vertikal_mm,d_total_3d_mm,rasio_HV,plunge_deg,v_turunlereng_mmhari,v_vertikal_mmhari,v_ci95_mmhari,v_paruh1_mmhari,v_paruh2_mmhari,delta_v_mmhari,rezim,changepoint,changepoint_skor,inverse_velocity,t_turunlereng,t_vertikal,koherensi_tetangga,sigma_radial_mm,sigma_tangensial_mm,sigma_vertikal_mm,sd_harian_rad_mm,sd_harian_vert_mm,gerak_sejak_pasang_mm,tarp,catatan
CND_1602#1,CND_1602,1,True,P4-STABIL,16.7389,TERPUTUS_BARU,175824.0355,9045926.6195,161.429,394.846,317.8458,20.0995,146.4265,-8.5807,0.9888,88,10,1.0,2026-09-02 10:03,2026-09-11 14:03,44.0,2.0916,0.1283,2.0955,,3.5094,0.2029,0.0439,0.1475,0.3852,0.0279,-0.3573,regresif,,0.0,tidak_berlaku,3.7497,0.0567,0.7409,0.8259,2.7448,2.9496,0.39,1.5987,-1.0,belum_dikonfigurasi,"tidak terukur 12-48 jam terakhir; segmen ke-2: baseline direset, perpindahan tidak disambung; swap_target: 51254.2 mm; duplikat_target: 1.0 mm"
CND_25#0,CND_25,0,True,P4-STABIL,15.4201,HILANG,175918.2775,9045795.3355,110.2505,234.9806,313.3931,21.6845,147.0893,-13.6963,0.9716,76,8,1.0,2026-09-01 14:02,2026-09-08 20:02,110.0167,0.3164,2.5496,2.5692,0.1241,82.9248,-0.0537,0.229,0.0606,-0.0597,0.0925,0.1522,stabil,,0.0,tidak_berlaku,1.0756,4.6007,0.2322,0.0525,0.9864,1.4826,0.2021,0.3919,-116.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_1901#0,CND_1901,0,True,P4-STABIL,14.4163,HILANG,176000.0755,9046150.616,191.08,524.3127,350.2322,16.3387,153.7421,16.4901,0.9589,35,5,1.0,2026-09-01 14:08,2026-09-05 14:08,187.9167,-0.7468,-3.0597,3.1496,-0.2441,-76.2831,-0.1719,-0.4934,0.7296,,,,linier,,0.0,tidak_berlaku,-1.718,-2.113,0.7525,0.6303,4.6557,2.9652,0.2947,1.024,-30.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_1803#0,CND_1803,0,True,P4-STABIL,13.5712,TERPUTUS_BARU,175987.779,9046111.314,180.894,488.0283,348.0261,16.3387,153.7421,14.284,0.9691,72,8,1.0,2026-09-01 14:07,2026-09-11 12:07,45.9333,-1.0348,-3.3675,3.5229,-0.3073,-72.9181,-0.1506,-0.4723,0.0861,-0.2438,-0.2374,0.0064,linier,,0.0,tidak_berlaku,-4.0917,-4.1298,0.4893,0.5276,3.366,2.0438,0.1733,0.5766,-27.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir
CND_17#0,CND_17,0,True,P4-STABIL,12.167,HILANG,176131.2555,9045837.286,91.111,207.7195,11.7295,14.1725,147.2595,44.4699,0.7136,54,5,1.0,2026-09-01 14:08,2026-09-06 06:07,171.9333,1.7054,-0.4978,1.7765,,-16.2741,-0.0541,-0.1444,0.9911,,,,stabil,,0.0,tidak_berlaku,1.9253,-1.2267,0.6919,0.3803,1.4014,1.4826,0.447,0.287,-36.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_29#0,CND_29,0,True,P4-STABIL,8.201,HILANG,175899.7815,9045813.568,120.842,260.9471,313.5121,15.8715,141.1917,-7.6796,0.991,56,5,1.0,2026-09-01 14:02,2026-09-07 14:02,140.0167,-0.2406,-1.0288,1.0565,,-76.838,-0.0633,-0.1219,0.5809,,,,stabil,,0.0,tidak_berlaku,-0.6457,-1.5877,0.6727,0.1345,2.3914,2.1248,0.2611,0.4582,-164.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_30#0,CND_30,0,True,P4-STABIL,6.6637,HILANG,175938.989,9045838.843,120.605,253.9915,323.7916,21.6845,147.0893,-3.2978,0.9983,64,6,1.0,2026-09-01 14:03,2026-09-10 10:04,71.9833,-0.3288,-0.905,0.9628,,-70.0315,-0.0675,-0.2211,0.1245,0.0571,-0.0033,-0.0603,stabil,,0.0,tidak_berlaku,-1.9665,-1.4138,0.5167,0.3205,1.6688,1.3591,0.118,0.4526,-218.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_1401#0,CND_1401,0,True,P4-STABIL,5.9523,HILANG,175860.615,9045885.584,140.8005,339.8754,317.7746,20.9023,147.5127,-9.7381,0.9856,70,8,1.0,2026-09-01 14:02,2026-09-08 16:03,114.0,0.5173,1.7046,1.7814,,73.119,0.033,0.0582,0.1175,0.1639,-0.0177,-0.1816,stabil,,0.0,tidak_berlaku,1.7759,1.4105,0.0216,0.4743,2.1924,1.4826,0.203,0.8546,-152.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_30003#0,CND_30003,0,True,P4-STABIL,5.8347,AKTIF,175469.928,9045870.8355,201.269,662.8886,290.942,20.379,145.9288,-34.9868,0.8193,141,13,1.0,2026-09-01 14:00,2026-09-13 10:00,0.05,-1.0776,-0.1798,1.0925,,-9.4699,-0.0221,-0.0673,0.0743,-0.0862,-0.0088,0.0774,stabil,,0.18,tidak_berlaku,-1.8432,-0.091,-0.213,0.8005,2.8208,3.1721,0.3387,1.3972,-7.0,belum_dikonfigurasi,
CND_30004#0,CND_30004,0,True,P4-STABIL,5.6503,AKTIF,175504.701,9045863.298,190.986,627.7417,291.4339,20.379,145.9288,-34.4949,0.8242,140,13,1.0,2026-09-01 14:00,2026-09-13 10:00,0.05,-1.0257,2.2789,2.4991,,65.768,-0.0171,0.053,0.0754,-0.0121,0.0038,0.0159,stabil,,0.05,tidak_berlaku,-1.9196,0.773,0.1264,0.8282,2.505,5.8257,0.3114,2.0846,-8.0,belum_dikonfigurasi,
